ccode,country.name,year,value
24,Angola,1820,48.93343
32,Argentina,1820,47.10099
40,Austria,1820,53.35227
56,Belgium,1820,62.43673
204,Benin,1820,47.95059
76,Brazil,1820,47.10099
120,Cameroon,1820,56.15046
124,Canada,1820,45.13605
152,Chile,1820,47.10099
156,China,1820,44.8543
178,Congo,1820,51.06881
208,Denmark,1820,54.14205
818,Egypt,1820,57.71468
250,France,1820,59
288,Ghana,1820,58.44026
348,Hungary,1820,47.41291
356,India,1820,32.8
360,Indonesia,1820,51.69444
372,Ireland,1820,44.58137
380,Italy,1820,53.86328
392,Japan,1820,53.15753
484,Mexico,1820,40.11364
528,Netherlands,1820,56.33
566,Nigeria,1820,54.85265
578,Norway,1820,43.73409
604,Peru,1820,57.39507
616,Poland,1820,34.51052
620,Portugal,1820,55.06711
686,Senegal,1820,45.90492
724,Spain,1820,38.04
752,Sweden,1820,55.44166
756,Switzerland,1820,41.73431
764,Thailand,1820,47.42689
792,Turkey,1820,57.71468
804,Ukraine,1820,45.56807
826,United Kingdom,1820,59.27
840,United States,1820,57.00726
32,Argentina,1850,33.68675
51,Armenia,1850,29.12185
36,Australia,1850,41.30739
40,Austria,1850,36.06522
50,Bangladesh,1850,41.82703
56,Belgium,1850,52.76835
76,Brazil,1850,36.88876
100,Bulgaria,1850,39.5
124,Canada,1850,26.73701
148,Chad,1850,50.61458
152,Chile,1850,63.61
156,China,1850,32.79879
208,Denmark,1850,51.47933
818,Egypt,1850,63.09967
250,France,1850,54.3298
288,Ghana,1850,42.92655
348,Hungary,1850,33.10527
356,India,1850,38.72911
360,Indonesia,1850,41.9696
372,Ireland,1850,29.63404
380,Italy,1850,50.53597
392,Japan,1850,45.76564
458,Malaysia,1850,25.26073
484,Mexico,1850,31.6158
104,Myanmar,1850,30.4921
528,Netherlands,1850,48.49462
578,Norway,1850,39.48906
586,Pakistan,1850,28.68893
598,Papua New Guinea,1850,25.7537
604,Peru,1850,45.09157
608,Philippines,1850,32.54966
616,Poland,1850,36.1977
620,Portugal,1850,33.4622
705,Slovenia,1850,27.71461
724,Spain,1850,31.60821
752,Sweden,1850,46.11219
756,Switzerland,1850,49.54624
764,Thailand,1850,42
792,Turkey,1850,37.42893
804,Ukraine,1850,30.2709
826,United Kingdom,1850,43.49139
840,United States,1850,43.79735
4,Afghanistan,1870,49.58121
8,Albania,1870,41.2354
32,Argentina,1870,52.2
51,Armenia,1870,59.54074
36,Australia,1870,47.54506
31,Azerbaijan,1870,73.7
50,Bangladesh,1870,50.1948
56,Belgium,1870,52.80577
76,Brazil,1870,39.2
100,Bulgaria,1870,47.82681
