date,site,temperature,depth,salinity,DO,Chl,turbidity,lat,long
2012/07/25,1,17.3253,22.105,35.387,7.17302,1.9441,8.8502,-33.8961111,25.70222222
2012/07/25,1,17.3252,22.078,35.3865,7.15766,1.9524,8.6824,-33.8961111,25.70222222
2012/07/25,1,17.3248,22.048,35.3866,7.14564,2.2691,8.4077,-33.8961111,25.70222222
2012/07/25,1,17.3243,22.031,35.387,7.15205,2.9435,8.3162,-33.8961111,25.70222222
2012/07/25,1,17.3241,22.093,35.3874,7.15474,3.1167,8.1178,-33.8961111,25.70222222
2012/07/25,1,17.324,22.203,35.388,7.1623,2.8626,8.2856,-33.8961111,25.70222222
2012/07/25,1,17.3243,22.284,35.3879,7.18484,2.6032,8.4382,-33.8961111,25.70222222
2012/07/25,1,17.3244,22.353,35.3882,7.19087,2.3026,8.1636,-33.8961111,25.70222222
2012/07/25,1,17.3248,22.468,35.3885,7.20274,2.0402,8.6213,-33.8961111,25.70222222
2012/07/25,1,17.3255,22.597,35.3875,7.20453,1.9029,8.6213,-33.8961111,25.70222222
2012/07/25,1,17.3255,22.622,35.3876,7.21326,1.838,8.6519,-33.8961111,25.70222222
2012/07/25,1,17.3257,22.591,35.3869,7.22007,1.7747,8.6213,-33.8961111,25.70222222
2012/07/25,1,17.3255,22.593,35.3863,7.22587,1.8189,8.5145,-33.8961111,25.70222222
2012/07/25,1,17.3252,22.647,35.387,7.24499,2.601,8.5603,-33.8961111,25.70222222
2012/07/25,1,17.325,22.716,35.3875,7.22908,3.0534,8.5145,-33.8961111,25.70222222
2012/07/25,1,17.3251,22.777,35.3877,7.23102,2.8146,8.4535,-33.8961111,25.70222222
2012/07/25,1,17.325,22.821,35.3875,7.22033,2.7001,8.3467,-33.8961111,25.70222222
2012/07/25,1,17.3251,22.871,35.3872,7.21257,2.5468,8.0873,-33.8961111,25.70222222
2012/07/25,1,17.3251,22.882,35.3872,7.19725,2.3553,8.2246,-33.8961111,25.70222222
2012/07/25,1,17.3248,22.891,35.3859,7.1932,2.1905,8.2399,-33.8961111,25.70222222
2012/07/25,1,17.3247,22.898,35.3866,7.18727,2.1203,8.5145,-33.8961111,25.70222222
2012/07/25,1,17.3245,22.837,35.3866,7.18613,2.295,8.7739,-33.8961111,25.70222222
2012/07/25,1,17.3241,22.703,35.387,7.19139,2.2599,8.835,-33.8961111,25.70222222
2012/07/25,1,17.3237,22.59,35.3871,7.18846,2.0905,8.8197,-33.8961111,25.70222222
2012/07/25,1,17.3235,22.503,35.3871,7.19328,1.9578,9.2317,-33.8961111,25.70222222
2012/07/25,1,17.3235,22.44,35.3872,7.19429,1.9494,9.4759,-33.8961111,25.70222222
2012/07/25,1,17.3235,22.317,35.3872,7.20036,2.646,9.1402,-33.8961111,25.70222222
