ccode,country.name,year,value
56,Belgium,1500,1467
818,Egypt,1500,680
276,Germany,1500,1146
380,Italy,1500,1532.8535
528,Netherlands,1500,1454
724,Spain,1500,846
792,Turkey,1500,660
826,United Kingdom,1500,1086
56,Belgium,1550,1512
528,Netherlands,1550,1798
620,Portugal,1550,1142
752,Sweden,1550,994.6124
826,United Kingdom,1550,1058
380,Italy,1570,1458.8237
528,Netherlands,1570,1432
724,Spain,1570,910
752,Sweden,1570,1031.7678
826,United Kingdom,1570,1111
56,Belgium,1600,1589
276,Germany,1600,807
356,India,1600,793
380,Italy,1600,1363.0203
392,Japan,1600,574
528,Netherlands,1600,2662
620,Portugal,1600,1164
724,Spain,1600,892
752,Sweden,1600,761.4111
826,United Kingdom,1600,1082
56,Belgium,1650,1445
276,Germany,1650,948
356,India,1650,746
380,Italy,1650,1397.8579
392,Japan,1650,559
528,Netherlands,1650,2691
724,Spain,1650,687
752,Sweden,1650,965.5044
826,United Kingdom,1650,925.0298
840,United States,1650,587
56,Belgium,1700,1375
276,Germany,1700,939
356,India,1700,729
380,Italy,1700,1476.2425
392,Japan,1700,629
528,Netherlands,1700,2105
620,Portugal,1700,975
710,South Africa,1700,1703
724,Spain,1700,814
752,Sweden,1700,1339.9151
792,Turkey,1700,700
826,United Kingdom,1700,1513
710,South Africa,1720,1631
752,Sweden,1720,1280.6155
826,United Kingdom,1720,1703
840,United States,1720,900
56,Belgium,1750,1361
276,Germany,1750,1050
356,India,1750,670
380,Italy,1750,1532.8535
392,Japan,1750,598
528,Netherlands,1750,2355
620,Portugal,1750,1248
710,South Africa,1750,1692
724,Spain,1750,783
752,Sweden,1750,972.5083
826,United Kingdom,1750,1695
710,South Africa,1775,1524
752,Sweden,1775,970.4755
826,United Kingdom,1775,1816
840,United States,1775,1232
32,Argentina,1800,930.6555
76,Brazil,1800,683.4999
152,Chile,1800,626.1073
170,Colombia,1800,590.7188
192,Cuba,1800,503.2854
276,Germany,1800,986
380,Italy,1800,1363.0203
392,Japan,1800,641
484,Mexico,1800,836.1421
528,Netherlands,1800,2609
620,Portugal,1800,1024
724,Spain,1800,916
752,Sweden,1800,856.6406
826,United Kingdom,1800,2096.9261
840,United States,1800,1296
858,Uruguay,1800,1085.8057
862,Venezuela,1800,415.3374
356,India,1801,648
380,Italy,1801,1345.6015
528,Netherlands,1801,2563
752,Sweden,1801,849.4826
826,United Kingdom,1801,2101.5334
840,United States,1801,1320
380,Italy,1802,1389.1485
528,Netherlands,1802,2704
752,Sweden,1802,888.7641
826,United Kingdom,1802,2108.0495
840,United States,1802,1341
380,Italy,1803,1428.3408
528,Netherlands,1803,2646
752,Sweden,1803,879.9868
826,United Kingdom,1803,2039.9472
840,United States,1803,1319
380,Italy,1804,1489.3066
528,Netherlands,1804,2772
710,South Africa,1804,917
752,Sweden,1804,822.6432
826,United Kingdom,1804,2009.9887
840,United States,1804,1318
380,Italy,1805,1441.4049
528,Netherlands,1805,2609
710,South Africa,1805,869
752,Sweden,1805,875.3201
826,United Kingdom,1805,2100.4955
840,United States,1805,1345
380,Italy,1806,1476.2425
528,Netherlands,1806,2628
710,South Africa,1806,869
752,Sweden,1806,884.9917
826,United Kingdom,1806,2062.1696
840,United States,1806,1370
380,Italy,1807,1480.5972
528,Netherlands,1807,1840
710,South Africa,1807,942
752,Sweden,1807,848.2471
826,United Kingdom,1807,2166.858
840,United States,1807,1383
380,Italy,1808,1563.3364
528,Netherlands,1808,1640
710,South Africa,1808,825
752,Sweden,1808,802.9336
826,United Kingdom,1808,2038.8811
840,United States,1808,1286
380,Italy,1809,1572.0458
710,South Africa,1809,806
752,Sweden,1809,766.2757
826,United Kingdom,1809,2075.6338
840,United States,1809,1349
380,Italy,1810,1450.1143
710,South Africa,1810,891
752,Sweden,1810,827.9533
826,United Kingdom,1810,2181.7345
840,United States,1810,1388
356,India,1811,617
380,Italy,1811,1402.2126
710,South Africa,1811,707
752,Sweden,1811,889.4064
826,United Kingdom,1811,2130.9087
840,United States,1811,1415
56,Belgium,1812,1479
380,Italy,1812,1432.6955
710,South Africa,1812,716
752,Sweden,1812,832.5634
826,United Kingdom,1812,2012.1701
840,United States,1812,1391
380,Italy,1813,1471.8878
710,South Africa,1813,902
752,Sweden,1813,848.4757
826,United Kingdom,1813,2088.2108
840,United States,1813,1406
380,Italy,1814,1489.3066
710,South Africa,1814,913
752,Sweden,1814,855.008
826,United Kingdom,1814,2010.1851
840,United States,1814,1433
380,Italy,1815,1423.9861
528,Netherlands,1815,1876
710,South Africa,1815,759
752,Sweden,1815,884.8019
826,United Kingdom,1815,2188.8257
840,United States,1815,1427
380,Italy,1816,1402.2126
528,Netherlands,1816,1788
710,South Africa,1816,791
752,Sweden,1816,902.06
826,United Kingdom,1816,2039.4932
840,United States,1816,1369
380,Italy,1817,1415.2767
528,Netherlands,1817,1805
710,South Africa,1817,822
752,Sweden,1817,875.9824
826,United Kingdom,1817,2041.2887
840,United States,1817,1368
380,Italy,1818,1524.1441
528,Netherlands,1818,1834
710,South Africa,1818,872
752,Sweden,1818,883.1965
826,United Kingdom,1818,2008.3161
840,United States,1818,1372
380,Italy,1819,1511.0801
528,Netherlands,1819,1749
710,South Africa,1819,754
752,Sweden,1819,875.4976
826,United Kingdom,1819,1946.9744
840,United States,1819,1369
12,Algeria,1820,430
32,Argentina,1820,998.128
36,Australia,1820,518
40,Austria,1820,1218
76,Brazil,1820,683.4999
124,Canada,1820,904
152,Chile,1820,604.5472
156,China,1820,600
170,Colombia,1820,533.0265
192,Cuba,1820,644.457
208,Denmark,1820,1274
818,Egypt,1820,475
246,Finland,1820,781
250,France,1820,1135
364,Iran,1820,588
368,Iraq,1820,588
372,Ireland,1820,877
380,Italy,1820,1511.0801
388,Jamaica,1820,700.7481
400,Jordan,1820,590
422,Lebanon,1820,657
458,Malaysia,1820,603
484,Mexico,1820,626.8297
504,Morocco,1820,430
104,Myanmar,1820,504
524,Nepal,1820,397
528,Netherlands,1820,1874
408,North Korea,1820,335.0285
578,Norway,1820,801
608,Philippines,1820,584
620,Portugal,1820,923
710,South Africa,1820,745
410,South Korea,1820,335.0285
144,Sri Lanka,1820,550
752,Sweden,1820,887.6727
760,Syria,1820,658
764,Thailand,1820,570
788,Tunisia,1820,430
792,Turkey,1820,740
826,United Kingdom,1820,2073.8454
840,United States,1820,1361
858,Uruguay,1820,1164.5266
862,Venezuela,1820,374.7736
704,Vietnam,1820,527
36,Australia,1821,523
208,Denmark,1821,1320
250,France,1821,1225
356,India,1821,588
380,Italy,1821,1484.9519
528,Netherlands,1821,1836
710,South Africa,1821,880
752,Sweden,1821,914.3843
826,United Kingdom,1821,2074.9653
840,United States,1821,1382
36,Australia,1822,538
208,Denmark,1822,1327
250,France,1822,1176
380,Italy,1822,1502.3707
528,Netherlands,1822,1853
710,South Africa,1822,821
752,Sweden,1822,918.6749
826,United Kingdom,1822,2080.1832
840,United States,1822,1420
36,Australia,1823,556
208,Denmark,1823,1308
250,France,1823,1213
380,Italy,1823,1515.4347
528,Netherlands,1823,1945
752,Sweden,1823,908.7778
826,United Kingdom,1823,2107.4972
840,United States,1823,1405
36,Australia,1824,587
208,Denmark,1824,1328
250,France,1824,1246
380,Italy,1824,1554.627
528,Netherlands,1824,1931
752,Sweden,1824,933.4246
826,United Kingdom,1824,2190.7297
840,United States,1824,1443
36,Australia,1825,616
208,Denmark,1825,1322
250,France,1825,1191
380,Italy,1825,1532.8535
528,Netherlands,1825,1882
752,Sweden,1825,958.2208
826,United Kingdom,1825,2209.431
840,United States,1825,1475
36,Australia,1826,627
208,Denmark,1826,1324
250,France,1826,1223
380,Italy,1826,1576.4005
528,Netherlands,1826,1912
710,South Africa,1826,849
752,Sweden,1826,960.5084
826,United Kingdom,1826,2063.908
840,United States,1826,1485
36,Australia,1827,646
208,Denmark,1827,1349
250,France,1827,1197
380,Italy,1827,1550.2723
528,Netherlands,1827,2025
752,Sweden,1827,915.4734
826,United Kingdom,1827,2194.6873
840,United States,1827,1491
36,Australia,1828,663
208,Denmark,1828,1357
250,France,1828,1190
380,Italy,1828,1532.8535
528,Netherlands,1828,2068
752,Sweden,1828,931.6676
826,United Kingdom,1828,2170.638
840,United States,1828,1491
36,Australia,1829,699
208,Denmark,1829,1324
250,France,1829,1221
380,Italy,1829,1528.4988
528,Netherlands,1829,2072
710,South Africa,1829,861
752,Sweden,1829,944.8128
826,United Kingdom,1829,2159.5317
840,United States,1829,1442
36,Australia,1830,848
40,Austria,1830,1399
124,Canada,1830,1000
208,Denmark,1830,1330
250,France,1830,1191
380,Italy,1830,1506.7254
528,Netherlands,1830,1893
578,Norway,1830,835
752,Sweden,1830,921.3311
826,United Kingdom,1830,2227.3068
840,United States,1830,1547
36,Australia,1831,877
208,Denmark,1831,1318
250,France,1831,1208
356,India,1831,593
380,Italy,1831,1558.9817
528,Netherlands,1831,2034
578,Norway,1831,767
710,South Africa,1831,780
752,Sweden,1831,939.2596
826,United Kingdom,1831,2224.1679
840,United States,1831,1642
36,Australia,1832,896
208,Denmark,1832,1354
250,France,1832,1312
380,Italy,1832,1572.0458
528,Netherlands,1832,2129
578,Norway,1832,778
752,Sweden,1832,914.2807
826,United Kingdom,1832,2266.3261
840,United States,1832,1701
36,Australia,1833,900
208,Denmark,1833,1336
250,France,1833,1288
300,Greece,1833,964
380,Italy,1833,1580.7552
528,Netherlands,1833,2081
578,Norway,1833,863
752,Sweden,1833,943.146
826,United Kingdom,1833,2258.1138
840,United States,1833,1761
36,Australia,1834,946
208,Denmark,1834,1397
250,France,1834,1290
300,Greece,1834,1026
380,Italy,1834,1593.8193
528,Netherlands,1834,2100
578,Norway,1834,901
752,Sweden,1834,955.3922
826,United Kingdom,1834,2283.288
840,United States,1834,1677
36,Australia,1835,1145
208,Denmark,1835,1377
250,France,1835,1333
300,Greece,1835,1341
380,Italy,1835,1637.3663
528,Netherlands,1835,2094
578,Norway,1835,881
752,Sweden,1835,951.7286
826,United Kingdom,1835,2422.147
840,United States,1835,1741
36,Australia,1836,1125
208,Denmark,1836,1367
250,France,1836,1311
300,Greece,1836,1297
380,Italy,1836,1519.7894
528,Netherlands,1836,2163
578,Norway,1836,856
752,Sweden,1836,982.455
826,United Kingdom,1836,2470.1718
840,United States,1836,1766
36,Australia,1837,1180
208,Denmark,1837,1392
250,France,1837,1329
300,Greece,1837,1330
380,Italy,1837,1480.5972
528,Netherlands,1837,2213
578,Norway,1837,857
752,Sweden,1837,974.7273
826,United Kingdom,1837,2419.7137
840,United States,1837,1711
36,Australia,1838,1165
208,Denmark,1838,1390
250,France,1838,1387
300,Greece,1838,1399
380,Italy,1838,1502.3707
528,Netherlands,1838,2237
578,Norway,1838,858
752,Sweden,1838,959.4122
