ccode,country.name,year,value
214,Dominican Republic,1600,0.06226497
218,Ecuador,1600,0.03325654
818,Egypt,1600,0.02597641
222,El Salvador,1600,0.006294851
226,Equatorial Guinea,1600,0.01999537
232,Eritrea,1600,0.297926
246,Finland,1600,0.0004481123
250,France,1600,0.02783181
266,Gabon,1600,0.1023881
268,Georgia,1600,0.008692863
276,Germany,1600,0.06340791
288,Ghana,1600,0.1213469
300,Greece,1600,0.7941146
308,Grenada,1600,0.03835869
320,Guatemala,1600,0.02060558
324,Guinea,1600,0.0189552
624,Guinea-Bissau,1600,0.194485
328,Guyana,1600,0.04276114
332,Haiti,1600,0.1054621
340,Honduras,1600,0.00701558
348,Hungary,1600,0.006631439
356,India,1600,0.05602393
360,Indonesia,1600,0.04913532
364,Iran,1600,0.5622075
368,Iraq,1600,0.3378854
376,Israel,1600,0.7942197
380,Italy,1600,0.08247383
388,Jamaica,1600,0.4551564
392,Japan,1600,0.006324789
400,Jordan,1600,0.4839976
398,Kazakhstan,1600,0.04538085
404,Kenya,1600,0.5319825
414,Kuwait,1600,0.1466094
417,Kyrgyzstan,1600,0.0752522
418,Laos,1600,0.01379844
428,Latvia,1600,0.005890023
422,Lebanon,1600,0.2412061
426,Lesotho,1600,1.686018
430,Liberia,1600,0.09161872
434,Libya,1600,0.7387187
440,Lithuania,1600,0.005989623
450,Madagascar,1600,0.06305603
454,Malawi,1600,0.10194
458,Malaysia,1600,0.03627077
466,Mali,1600,0.1329647
470,Malta,1600,0.09978474
478,Mauritania,1600,2.870562
480,Mauritius,1600,0.07950951
484,Mexico,1600,0.9918973
498,Moldova,1600,0.0127283
496,Mongolia,1600,5.72419
504,Morocco,1600,0.1469622
508,Mozambique,1600,0.02838731
104,Myanmar,1600,0.01825329
516,Namibia,1600,0.4118028
524,Nepal,1600,0.364615
528,Netherlands,1600,0.003520592
558,Nicaragua,1600,0.003551309
562,Niger,1600,0.1625226
566,Nigeria,1600,0.002870123
408,North Korea,1600,0.007041075
578,Norway,1600,0.02828458
512,Oman,1600,0.172682
586,Pakistan,1600,0.1707476
591,Panama,1600,0.003569763
600,Paraguay,1600,0.06007127
604,Peru,1600,0.1432116
608,Philippines,1600,0.04057305
616,Poland,1600,0.006322573
620,Portugal,1600,0.1722575
634,Qatar,1600,0.6275849
642,Romania,1600,0.02179843
646,Rwanda,1600,0.1381052
678,Sao Tome and Principe,1600,0.02338801
682,Saudi Arabia,1600,0.1429017
686,Senegal,1600,0.2841394
690,Seychelles,1600,0.03818423
694,Sierra Leone,1600,0.03493529
702,Singapore,1600,0.0009073181
703,Slovakia,1600,0.06071714
705,Slovenia,1600,0.005661983
706,Somalia,1600,2.431656
710,South Africa,1600,1.375171
410,South Korea,1600,0.0089765
724,Spain,1600,0.2245843
144,Sri Lanka,1600,0.04248296
659,St. Kitts and Nevis,1600,0.1843771
662,St. Lucia,1600,0.04285149
670,St. Vincent and the Grenadines,1600,0.05843682
740,Suriname,1600,0.0384743
748,Swaziland,1600,0.6131486
756,Switzerland,1600,0.01647121
760,Syria,1600,0.3536003
762,Tajikistan,1600,0.2496366
834,Tanzania,1600,0.4361063
764,Thailand,1600,0.001087706
270,The Gambia,1600,0.2993875
768,Togo,1600,0.2297606
