"date","lon","lat","depth","depth_to","depth_bot","temp"
"1990-Nov",21.2,-35.5,10,110,120,19.29
"1990-Nov",21.2,-35.4,10,80,90,19.95
"1990-Nov",21.2,-35.2,10,100,110,18.41
"1990-Nov",21.2,-35.1,10,80,90,18.46
"1990-Nov",21.1,-34.9,10,70,80,18.38
"1990-Nov",21.1,-34.7,10,60,70,18.5
"1990-Nov",21.1,-34.6,10,60,70,18.6
"1990-Nov",21,-34.4,10,10,20,18.88
"1990-Nov",21.3,-34.5,10,50,60,18.89
"1990-Nov",22.1,-34.2,10,30,40,18.22
"1990-Nov",22.1,-34.4,10,80,90,17.65
"1990-Nov",22.2,-34.5,10,60,70,17.2
"1990-Nov",22.2,-34.7,10,90,100,17.11
"1990-Nov",22.2,-34.9,10,90,100,17.47
"1990-Nov",22.3,-35,10,100,110,19.02
"1990-Nov",22.3,-35.2,10,110,120,18.27
"1990-Nov",22.3,-35.4,10,140,150,18.32
"1990-Nov",23.9,-34.7,10,160,170,17.2
"1990-Nov",23.9,-34.5,10,120,130,18.1
"1990-Nov",23.9,-34.3,10,120,130,17.88
"1990-Nov",23.8,-34.2,10,90,100,17.53
"1990-Nov",23.8,-34,10,150,160,17.98
"1990-Nov",24.9,-34.7,10,340,350,20.68
"1990-Nov",24.8,-34.6,10,270,280,20.77
"1990-Nov",24.8,-34.4,10,110,120,17.43
"1990-Nov",24.8,-34.2,10,30,40,17.87
"1990-Nov",25,-34.2,10,90,100,18.06
"1990-Nov",24.9,-34.2,10,30,40,18.16
"1990-Nov",25,-34,10,30,40,18.08
"1990-Nov",25.1,-34,10,30,40,17.91
"1990-Nov",25.1,-34.1,10,70,80,17.82
"1990-Nov",25.1,-34.2,10,110,120,17.7
"1990-Nov",25.3,-34.2,10,120,130,17.97
"1990-Nov",25.3,-34.1,10,110,120,17.98
"1990-Nov",25.4,-34,10,70,80,18.02
"1990-Nov",25.3,-34.1,10,110,120,17.98
"1990-Nov",25.4,-34,10,70,80,18.02
"1990-Nov",17.1,-30.3,20,120,140,11.08
"1990-Nov",17.1,-29.9,20,NA,NA,9.38
"1990-Nov",16.9,-29.9,20,120,140,11.12
"1990-Nov",16.7,-30,20,140,160,13.47
"1990-Nov",16.5,-30,20,160,180,13.81
"1990-Nov",16.3,-30.1,20,170,190,14.07
"1990-Nov",16.1,-30.1,20,180,200,14.65
"1990-Nov",16,-30.2,20,190,210,15.22
"1990-Nov",15.8,-30.2,20,210,230,15.88
"1990-Nov",15.6,-30.2,20,220,240,15.62
"1990-Nov",15.4,-30.3,20,250,270,15.83
"1990-Nov",15.2,-30.3,20,280,300,15.91
"1990-Nov",15.4,-30.8,20,650,670,16.14
"1990-Nov",15.6,-30.7,20,240,260,15.89
"1990-Nov",15.8,-30.7,20,180,200,15.9
"1990-Nov",16,-30.6,20,200,220,16
